 YYYY   MM   DD   HH        RAINTOT              H        QoutBsn          HDam1         Dam1in        Dam1out          HDam2         Dam2in        Dam2out
 2013    6   12   11          0.000          0.036          15.391  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   12          0.000          0.036          15.342  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   13          0.000          0.036          15.233  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   14          0.000          0.036          15.076  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   15          0.000          0.035          14.967  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   16          0.000          0.035          14.817  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   17          0.000          0.035          14.658  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   18          0.000          0.034          14.534  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   19          0.000          0.034          14.441  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   20          0.000          0.034          14.441  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   21          0.000          0.034          14.343  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   22          0.000          0.034          14.255  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   23          0.000          0.034          14.207  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   24          0.000          0.033          14.146  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    1          0.000          0.033          14.072  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    2          0.000          0.033          14.000  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    3          0.000          0.033          13.926  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    4          0.000          0.033          13.854  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    5          0.000          0.033          13.789  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    6          0.000          0.032          13.726  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    7          0.000          0.032          13.661  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    8          0.000          0.032          13.595  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13    9          0.000          0.032          13.533  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   10          0.000          0.032          13.478  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   11          0.000          0.032          13.460  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   12          0.000          0.032          13.428  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   13          0.000          0.032          13.381  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   14          0.000          0.031          13.339  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   15          0.000          0.031          13.295  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   16          0.000          0.031          13.257  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   17          0.000          0.031          13.345  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   18          0.000          0.031          13.303  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   19          0.000          0.031          13.259  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   20          0.000          0.031          13.233  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   21          0.000          0.031          13.206  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   22          0.000          0.031          13.173  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   13   23          0.000          0.031          13.167  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14   24          0.000          0.031          13.179  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    1          0.000          0.031          13.151  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    2          0.000          0.031          13.119  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    3          0.000          0.031          13.099  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    4          0.000          0.031          13.088  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    5          0.000          0.031          13.074  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    6          0.000          0.031          13.060  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    7          0.000          0.031          13.049  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    8          0.000          0.031          13.044  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   14    9          0.000          0.031          13.040  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
