  X  Y  Depth
  110  103  -9999.000
  111  103  -9999.000
  112  103  -9999.000
  113  103  -9999.000
  114  103  -9999.000
  115  103  -9999.000
    1  102  -9999.000
    2  102  -9999.000
    3  102  -9999.000
    4  102  -9999.000
    5  102  -9999.000
    6  102  -9999.000
    7  102  -9999.000
    8  102  -9999.000
    9  102  -9999.000
   10  102  -9999.000
   11  102  -9999.000
   12  102  -9999.000
   13  102  -9999.000
   14  102  -9999.000
   15  102  -9999.000
   16  102  -9999.000
   17  102  -9999.000
   18  102  -9999.000
   19  102  -9999.000
   20  102  -9999.000
   21  102  -9999.000
   22  102  -9999.000
   23  102  -9999.000
   24  102  -9999.000
   25  102  -9999.000
   26  102  -9999.000
   27  102  -9999.000
   28  102  -9999.000
   29  102  -9999.000
   30  102  -9999.000
   31  102  -9999.000
   32  102  -9999.000
   33  102  -9999.000
   34  102  -9999.000
   35  102  -9999.000
   36  102  -9999.000
   37  102  -9999.000
   38  102  -9999.000
   39  102  -9999.000
   40  102  -9999.000
   41  102  -9999.000
   42  102  -9999.000
   43  102  -9999.000
   44  102  -9999.000
   45  102  -9999.000
   46  102  -9999.000
   47  102  -9999.000
   48  102  -9999.000
   49  102  -9999.000
   50  102  -9999.000
   51  102  -9999.000
   52  102  -9999.000
   53  102  -9999.000
   54  102  -9999.000
   55  102  -9999.000
   56  102  -9999.000
   57  102  -9999.000
   58  102  -9999.000
   59  102  -9999.000
   60  102  -9999.000
   61  102  -9999.000
   62  102  -9999.000
   63  102  -9999.000
   64  102  -9999.000
   65  102  -9999.000
   66  102  -9999.000
   67  102  -9999.000
   68  102  -9999.000
   69  102  -9999.000
   70  102  -9999.000
   71  102  -9999.000
   72  102  -9999.000
   73  102  -9999.000
   74  102  -9999.000
   75  102  -9999.000
   76  102  -9999.000
   77  102  -9999.000
   78  102  -9999.000
   79  102  -9999.000
   80  102  -9999.000
   81  102  -9999.000
   82  102  -9999.000
   83  102  -9999.000
   84  102  -9999.000
   85  102  -9999.000
   86  102  -9999.000
   87  102  -9999.000
   88  102  -9999.000
   89  102  -9999.000
   90  102  -9999.000
   91  102  -9999.000
